id,title_info_primary_tsi,date_start_dtsi,date_start_tsim,subject_bbox_geospatial,subject_geojson_facet_ssim,filenames_ssim,exemplary_image_ssi
commonwealth:1257c221q,"Outline and index map of Brighton, wards 21 and 22, city of Boston",1925-01-01T00:00:00Z,1925,"ENVELOPE(-71.18729008246692\, -71.0985415844808\, 42.381685922848526\, 42.323323211093175)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.15\,42.35]}\,""properties"":{""placename"":""Brighton\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.1167\,42.35]}\,""properties"":{""placename"":""Allston\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.18729008246692\,42.323323211093175]\,[-71.0985415844808\,42.323323211093175]\,[-71.0985415844808\,42.381685922848526]\,[-71.18729008246692\,42.381685922848526]\,[-71.18729008246692\,42.323323211093175]]]}\,""bbox"":[-71.18729008246692\,42.323323211093175\,-71.0985415844808\,42.381685922848526]}",06_01_013837,commonwealth:1257c2220
commonwealth:4m90fn94r,"The Graphic map of Bulgaria, eastern Roumelia, the Turkish Empire in Europe, etc., according to the Treaty of Berlin",1885-01-01T00:00:00Z,1885,"ENVELOPE(15.0\, 31.0\, 47.0\, 39.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[23.0\,45.0]}\,""properties"":{""placename"":""Balkan Peninsula""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[15.0\,39.0]\,[31.0\,39.0]\,[31.0\,47.0]\,[15.0\,47.0]\,[15.0\,39.0]]]}\,""bbox"":[15.0\,39.0\,31.0\,47.0]}",06_01_012610,commonwealth:ht250973f
commonwealth:ht24zx299,Insurance map of Boston : volume 2,1870-01-01T00:00:00Z,1870,"ENVELOPE(-71.074\, -71.068\, 42.352\, 42.345)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.05\,42.35]}\,""properties"":{""placename"":""Boston\, MA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.074\,42.345]\,[-71.068\,42.345]\,[-71.068\,42.352]\,[-71.074\,42.352]\,[-71.074\,42.345]]]}\,""bbox"":[-71.074\,42.345\,-71.068\,42.352]}",06_01_012530,commonwealth:ht24zx302
commonwealth:ht2505356,"A map of the kingdom of Scotland from the latest and best observations, for Mr. Tindal's Continuation of Mr. Rapin's History",1744-01-01T00:00:00Z,1744,"ENVELOPE(-9.0\, -1.0\, 60.5\, 54.5)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-4.0\,57.0]}\,""properties"":{""placename"":""Scotland""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-9.0\,54.5]\,[-1.0\,54.5]\,[-1.0\,60.5]\,[-9.0\,60.5]\,[-9.0\,54.5]]]}\,""bbox"":[-9.0\,54.5\,-1.0\,60.5]}",06_01_016637,commonwealth:ht250536g
commonwealth:cj82kj71s,Post route map of the State of Colorado showing post offices with the intermediate distances and mail routes in operation on the 1st of October 1891,1891-01-01T00:00:00Z,1891,"ENVELOPE(-109.51969045411151\, -101.42860117095391\, 41.529980690084486\, 36.608012253506246)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-105.0\,39.0]}\,""properties"":{""placename"":""Colorado""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-109.51969045411151\,36.608012253506246]\,[-101.42860117095391\,36.608012253506246]\,[-101.42860117095391\,41.529980690084486]\,[-109.51969045411151\,41.529980690084486]\,[-109.51969045411151\,36.608012253506246]]]}\,""bbox"":[-109.51969045411151\,36.608012253506246\,-101.42860117095391\,41.529980690084486]}",06_01_008977,commonwealth:cj82kj722
commonwealth:b85162175,"Map of Providence County, Rhode Island, with some of the adjacent towns",1851-01-01T00:00:00Z,1851,"ENVELOPE(-71.8\, -71.23\, 42.01\, 41.65)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-71.4\,41.8167]}\,""properties"":{""placename"":""Providence\, RI""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.8\,41.65]\,[-71.23\,41.65]\,[-71.23\,42.01]\,[-71.8\,42.01]\,[-71.8\,41.65]]]}\,""bbox"":[-71.8\,41.65\,-71.23\,42.01]}",06_01_010554,commonwealth:b8516218f
commonwealth:cj82m013r,Gallia vetus,1634-01-01T00:00:00Z,1634,"ENVELOPE(-5.01\, 8.43\, 51.05\, 42.1)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[2.0\,46.0]}\,""properties"":{""placename"":""France""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-5.01\,42.1]\,[8.43\,42.1]\,[8.43\,51.05]\,[-5.01\,51.05]\,[-5.01\,42.1]]]}\,""bbox"":[-5.01\,42.1\,8.43\,51.05]}",06_01_010161,commonwealth:cj82m0141
commonwealth:4m90fg62f,Cereal map of Alberta,1914-01-01T00:00:00Z,1914,"ENVELOPE(-118.0\, -110.0\, 55.5\, 49.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-115.0\,55.0]}\,""properties"":{""placename"":""Alberta""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-118.0\,49.0]\,[-110.0\,49.0]\,[-110.0\,55.5]\,[-118.0\,55.5]\,[-118.0\,49.0]]]}\,""bbox"":[-118.0\,49.0\,-110.0\,55.5]}",06_01_011664,commonwealth:4m90fg63q
commonwealth:4m90f212r,Hammond's complete map of New York City,1917-01-01T00:00:00Z,1917,"ENVELOPE(-74.04\, -73.82\, 40.91\, 40.7)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-74.0\,40.7]}\,""properties"":{""placename"":""New York\, NY""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.04\,40.7]\,[-73.82\,40.7]\,[-73.82\,40.91]\,[-74.04\,40.91]\,[-74.04\,40.7]]]}\,""bbox"":[-74.04\,40.7\,-73.82\,40.91]}",06_01_010695,commonwealth:4m90f2131
commonwealth:cj82m680v,"Path map of the eastern part of Mount Desert Island, Maine",1901-01-01T00:00:00Z,1901,"ENVELOPE(-68.32\, -68.17\, 44.45\, 44.28)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-68.3333\,44.3333]}\,""properties"":{""placename"":""Mount Desert Island\, ME""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-68.32\,44.28]\,[-68.17\,44.28]\,[-68.17\,44.45]\,[-68.32\,44.45]\,[-68.32\,44.28]]]}\,""bbox"":[-68.32\,44.28\,-68.17\,44.45]}",06_01_010428,commonwealth:cj82m6814
commonwealth:cj82m435m,"Africæ, described, the manners of their habits and buildings, newly done into English",1662-01-01T00:00:00Z,1662,"ENVELOPE(-20.0\, 120.0\, 40.0\, -40.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[16.066\,2.383]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-20.0\,-40.0]\,[120.0\,-40.0]\,[120.0\,40.0]\,[-20.0\,40.0]\,[-20.0\,-40.0]]]}\,""bbox"":[-20.0\,-40.0\,120.0\,40.0]}",06_01_010226,commonwealth:cj82m436w
commonwealth:0r96fm385,Map of the history and romance of Wyoming,1928-01-01T00:00:00Z,1928,"ENVELOPE(-111.0\, -104.0\, 45.0\, 41.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-105.8333\,44.0]}\,""properties"":{""placename"":""Wyoming""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-111.0\,41.0]\,[-104.0\,41.0]\,[-104.0\,45.0]\,[-111.0\,45.0]\,[-111.0\,41.0]]]}\,""bbox"":[-111.0\,41.0\,-104.0\,45.0]}",06_01_014735,commonwealth:0r96fm39f
commonwealth:ht250434q,A vision of Private Kutschkes of the German National Guard,1917-01-01T00:00:00Z,1917,"ENVELOPE(-6.0\, 33.0\, 61.0\, 48.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[15.016\,56.2]}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-6.0\,48.0]\,[33.0\,48.0]\,[33.0\,61.0]\,[-6.0\,61.0]\,[-6.0\,48.0]]]}\,""bbox"":[-6.0\,48.0\,33.0\,61.0]}",06_01_016123,commonwealth:ht2504350
commonwealth:ht250347k,"State of Virginia coal fields and producing districts, September 1919",1919-01-01T00:00:00Z,1919,"ENVELOPE(-83.68\, -75.24\, 39.47\, 36.54)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-80.0\,37.0]}\,""properties"":{""placename"":""Virginia""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-83.68\,36.54]\,[-75.24\,36.54]\,[-75.24\,39.47]\,[-83.68\,39.47]\,[-83.68\,36.54]]]}\,""bbox"":[-83.68\,36.54\,-75.24\,39.47]}",06_01_014625,commonwealth:ht250348v
commonwealth:hx11z467n,[Map of the proposed fort and adjacent redoubt on Saint Simons Island],1738-01-01T00:00:00Z,1738,"ENVELOPE(-81.397777\, -81.38527\, 31.1375\, 31.1325)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-81.35\,31.2167]}\,""properties"":{""placename"":""Saint Simons Island\, GA""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-81.397777\,31.1325]\,[-81.38527\,31.1325]\,[-81.38527\,31.1375]\,[-81.397777\,31.1375]\,[-81.397777\,31.1325]]]}\,""bbox"":[-81.397777\,31.1325\,-81.38527\,31.1375]}",k_top_122_75,commonwealth:hx11z468x
commonwealth:st74cx50d,A chart of the South Sea,1672-01-01T00:00:00Z,1672,"ENVELOPE(-140.0\, -70.0\, 55.0\, -30.0)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-140.0\,-30.0]\,[-70.0\,-30.0]\,[-70.0\,55.0]\,[-140.0\,55.0]\,[-140.0\,-30.0]]]}\,""bbox"":[-140.0\,-30.0\,-70.0\,55.0]}",06_01_008267,commonwealth:st74cx51p
commonwealth:n8710675c,"Geo. W. Eldridge's chart D, Massachusetts Bay and the coast from Chatham to Boston and Gloucester",1898-01-01T00:00:00Z,1898,"ENVELOPE(-71.16\, -69.66\, 42.41\, 41.75)","{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-71.16\,41.75]\,[-69.66\,41.75]\,[-69.66\,42.41]\,[-71.16\,42.41]\,[-71.16\,41.75]]]}\,""bbox"":[-71.16\,41.75\,-69.66\,42.41]}",5500_082_002,commonwealth:n8710676n
commonwealth:cj82kp59b,Map of the Eastern Railroad and principal connections,1880-01-01T00:00:00Z,1880,"ENVELOPE(-74.0\, -60.0\, 49.0\, 40.0)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[-72.0\,54.0]}\,""properties"":{""placename"":""Quebec""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[-74.0\,40.0]\,[-60.0\,40.0]\,[-60.0\,49.0]\,[-74.0\,49.0]\,[-74.0\,40.0]]]}\,""bbox"":[-74.0\,40.0\,-60.0\,49.0]}",06_01_009240,commonwealth:cj82kp603
commonwealth:cj82kr24n,Ducatus Limburgum,1635-01-01T00:00:00Z,1635,"ENVELOPE(5.13\, 6.2339\, 51.0037\, 50.3012)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[5.5\,50.5]}\,""properties"":{""placename"":""Liège province\, Belgium""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[5.13\,50.3012]\,[6.2339\,50.3012]\,[6.2339\,51.0037]\,[5.13\,51.0037]\,[5.13\,50.3012]]]}\,""bbox"":[5.13\,50.3012\,6.2339\,51.0037]}",06_01_009467,commonwealth:cj82kr25x
commonwealth:7h14b481p,Insularum Sardiniae et Corsicae,1680-01-01T00:00:00Z,1680,"ENVELOPE(7.51\, 10.58\, 43.07\, 38.47)","{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[8.736\,41.926]}\,""properties"":{""placename"":""Corsica""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[9.0\,42.0]}\,""properties"":{""placename"":""Corsica\, France""}},{""type"":""Feature""\,""geometry"":{""type"":""Point""\,""coordinates"":[9.0\,40.0]}\,""properties"":{""placename"":""Sardegna\, Isola di""}},{""type"":""Feature""\,""geometry"":{""type"":""Polygon""\,""coordinates"":[[[7.51\,38.47]\,[10.58\,38.47]\,[10.58\,43.07]\,[7.51\,43.07]\,[7.51\,38.47]]]}\,""bbox"":[7.51\,38.47\,10.58\,43.07]}",06_01_008899,commonwealth:7h14b482z
